,0,1,2,3,4,5
0,5289,19618,918,0,388,0
1,0,61125,5169,8,10507,14
2,0,0,102844,0,46296,0
3,0,0,8,2438,11,0
4,0,0,0,0,77054,0
5,0,0,16,0,28,478
