,0,1,2,3,4,5
0,2421,2916,192,0,220,0
1,0,14478,516,0,449,0
2,0,0,970,0,494,0
3,0,0,1,113,0,0
4,0,0,0,0,5796,0
5,0,0,1,0,1,22
