,0,1,2,3,4,5
0,5183,29,0,0,0,0
1,1,1744,0,0,0,4
2,0,3,13401,5,0,14
3,0,1,4,11431,4,11
4,1,1,0,6,14394,26
5,0,0,0,0,0,381
