,0,1,2,3,4,5
0,85025,0,0,0,0,0
1,7,362406,0,0,0,0
2,1,7,404392,17,180,4
3,0,1,0,133574,0,0
4,0,0,0,0,10777,1
5,0,0,0,0,0,5615
