,0,1,2,3,4,5
0,69294,50910,5665,78,21283,8
1,107536,152514,12485,1030,32957,482
2,60863,44711,90945,112993,180560,73074
3,37,234,4271,88370,335,41254
4,1537,932,1457,540,10369,446
5,0,1,7,86,0,5212
